id,propertyType,forSale,price,location,preciseLocation,squareFootage,propertySquareFootage,yearOfBuilding,floor,totalFloors,inRegistry,heating,numberOfRooms,numberOfToilets,parking,hasElevator,hasTerrace
60824,1,1,890000,Beograd,Vracar,360,NULL,NULL,NULL,NULL,1,"etazno grejanje",NULL,NULL,NULL,NULL,1
29726,1,1,495000,Beograd,"Vozdovac opstina",355,NULL,2002,0,3,1,"grejanje na gas",6.5,4,1,NULL,1
28929,1,1,90000,Nis,"Gradske lokacije",350,NULL,NULL,NULL,NULL,NULL,"TA pec",4.5,2,1,NULL,1
28753,1,1,90000,Nis,"Gradske lokacije",350,NULL,NULL,NULL,NULL,NULL,"TA pec",4.5,2,1,NULL,1
6025,1,0,300,Beograd,"Savski Venac",350,NULL,NULL,1,3,NULL,"etazno grejanje",1,1,NULL,NULL,1
52209,1,1,85000,Subotica,"Gradske lokacije",350,NULL,NULL,NULL,NULL,NULL,NULL,3,NULL,NULL,NULL,NULL
28858,1,1,145000,Nis,"Gradske lokacije",350,NULL,NULL,NULL,NULL,NULL,NULL,3.5,NULL,1,NULL,NULL
46493,1,1,1824260,Beograd,"Savski Venac",350,NULL,2020,0,2,1,"centralno grejanje",4,NULL,NULL,1,1
28844,1,1,145000,Nis,"Gradske lokacije",350,NULL,NULL,NULL,NULL,NULL,NULL,3.5,NULL,1,NULL,NULL
11000,1,1,750000,Beograd,"Zvezdara opstina",340,NULL,2012,5,6,1,"centralno grejanje",7,4,1,1,1
52688,1,1,175000,Nis,"Gradske lokacije",339,NULL,NULL,NULL,NULL,1,NULL,3,2,NULL,NULL,NULL
49448,1,1,175000,Nis,"Gradske lokacije",339,NULL,NULL,NULL,NULL,1,NULL,3,2,NULL,NULL,NULL
2814,1,1,739000,Beograd,"Zvezdara opstina",337,NULL,2006,6,6,1,"centralno grejanje",6.5,4,NULL,NULL,1
52699,1,1,265000,Nis,"Gradske lokacije",336,NULL,1980,1,3,1,"grejanje na struju",3,2,NULL,NULL,1
49462,1,1,265000,Nis,"Gradske lokacije",336,NULL,1980,1,3,1,"grejanje na struju",3,2,NULL,NULL,1
55336,1,0,1500,Beograd,"Stari Grad opstina",330,NULL,NULL,-1,NULL,NULL,"etazno grejanje",NULL,NULL,NULL,NULL,NULL
53439,1,1,575500,Beograd,"Stari Grad opstina",325,NULL,2019,6,6,1,"centralno grejanje",5,3,NULL,1,1
34681,1,1,399000,Beograd,"Cukarica opstina",323,NULL,2009,3,3,NULL,"centralno grejanje",5,2,1,1,NULL
49504,1,1,529000,Beograd,"Vozdovac opstina",320,NULL,NULL,7,8,1,"centralno grejanje",6,4,1,1,1
3401,1,0,5000,Beograd,"Stari Grad opstina",315,NULL,1934,4,4,NULL,NULL,8,3,NULL,NULL,1
3435,1,0,4000,Beograd,"Stari Grad opstina",315,NULL,NULL,4,4,NULL,"centralno grejanje",8,NULL,NULL,1,1
23830,1,1,1260000,Beograd,"Stari Grad opstina",315,NULL,NULL,4,5,1,"centralno grejanje",6.5,1,NULL,1,NULL
23916,1,1,1260000,Beograd,"Stari Grad opstina",315,NULL,NULL,4,4,1,"centralno grejanje",8,NULL,NULL,1,1
60926,1,1,565000,Beograd,Vracar,314,NULL,NULL,1,3,NULL,"etazno grejanje",7,NULL,NULL,NULL,1
7077,1,1,620000,Beograd,"Vozdovac opstina",310,NULL,NULL,3,3,NULL,NULL,5,1,1,1,1
52673,1,1,450000,Beograd,"Vozdovac opstina",310,NULL,NULL,4,4,1,"centralno grejanje",6,4,1,NULL,NULL
14399,1,1,600000,Beograd,"Vozdovac opstina",310,NULL,2019,3,3,0,"podno grejanje",4,NULL,NULL,1,1
22119,1,1,950000,Beograd,"Stari Grad opstina",310,NULL,NULL,NULL,NULL,1,"etazno grejanje",6.5,1,NULL,NULL,1
52989,1,0,2300,Nis,"Gradske lokacije",310,NULL,NULL,NULL,NULL,NULL,"centralno grejanje",4.5,3,1,NULL,NULL
54365,1,0,2300,Nis,"Gradske lokacije",310,NULL,NULL,NULL,NULL,NULL,"centralno grejanje",4.5,3,1,NULL,NULL
56208,1,1,25000,Nis,"Okolne lokacije",308,NULL,NULL,NULL,NULL,1,"etazno grejanje",2.5,1,1,NULL,NULL
56233,1,1,25000,Nis,"Okolne lokacije",308,NULL,NULL,NULL,NULL,1,"etazno grejanje",2.5,1,1,NULL,NULL
46005,1,1,205000,Beograd,"Zemun opstina",306,NULL,NULL,0,1,1,"etazno grejanje",6,NULL,NULL,NULL,1
57811,1,1,72000,Sabac,"Gradske lokacije",303,NULL,NULL,NULL,NULL,1,NULL,8,3,NULL,NULL,NULL
10933,1,1,193920,Beograd,"Cukarica opstina",303,NULL,NULL,0,NULL,1,"grejanje na gas",5,NULL,NULL,1,1
