id,propertyType,forSale,price,location,preciseLocation,squareFootage,propertySquareFootage,yearOfBuilding,floor,totalFloors,inRegistry,heating,numberOfRooms,numberOfToilets,parking,hasElevator,hasTerrace
3204,0,1,72100,"Novi Sad","Gradske lokacije",1300,NULL,NULL,NULL,NULL,1,"grejanje na gas",3,NULL,NULL,NULL,NULL
53802,0,1,61800,"Novi Sad","Gradske lokacije",1300,NULL,1987,NULL,NULL,1,NULL,2,NULL,NULL,NULL,NULL
6248,0,1,35000,Subotica,"Okolne lokacije",1300,NULL,NULL,NULL,NULL,1,"centralno grejanje",4,4,NULL,NULL,1
15937,0,1,123600,"Novi Sad","Gradske lokacije",1300,NULL,2000,NULL,NULL,1,"grejanje na gas",2,NULL,NULL,NULL,NULL
8495,0,0,10000,Nis,"Gradske lokacije",1275,300,2000,NULL,NULL,NULL,NULL,10,NULL,NULL,NULL,NULL
17110,0,1,20200,Nis,"Okolne lokacije",1275,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
17163,0,1,20200,Nis,"Okolne lokacije",1275,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
52003,0,1,1350000,Nis,"Gradske lokacije",1274,300,2000,NULL,NULL,1,"grejanje na gas",10,NULL,1,NULL,1
9593,0,1,669500,"Novi Sad","Gradske lokacije",1260,NULL,NULL,NULL,NULL,1,"centralno grejanje",NULL,NULL,NULL,NULL,1
20718,0,1,751900,"Novi Sad","Gradske lokacije",1260,NULL,NULL,NULL,NULL,1,"grejanje na gas",NULL,NULL,NULL,NULL,NULL
20643,0,1,670000,"Novi Sad","Gradske lokacije",1260,NULL,NULL,NULL,NULL,1,"centralno grejanje",8,NULL,NULL,NULL,NULL
820,0,1,105000,"Novi Sad","Gradske lokacije",1250,NULL,2000,NULL,NULL,1,"grejanje na gas",3,NULL,NULL,NULL,NULL
16273,0,1,66950,"Novi Sad","Gradske lokacije",1237,1200,1970,NULL,NULL,1,"grejanje na struju",2,1,1,NULL,1
14172,0,1,1500000,Beograd,"Savski Venac",1220,1200,2021,NULL,NULL,0,NULL,15,NULL,1,NULL,NULL
53057,0,1,139000,"Sremski Karlovci","Gradske lokacije",1200,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL
7343,0,0,10000,Beograd,"Savski Venac",1200,NULL,NULL,NULL,NULL,NULL,"grejanje na struju",6,NULL,NULL,NULL,NULL
12356,0,1,288000,Nis,"Gradske lokacije",1200,1500,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL
6477,0,1,61800,Indjija,"Okolne lokacije",1200,NULL,NULL,NULL,NULL,1,"grejanje na struju",3,NULL,NULL,NULL,NULL
43972,0,1,97000,Beograd,"Lazarevac opstina",1200,6000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1391,0,1,77300,"Novi Sad","Gradske lokacije",1188,NULL,NULL,NULL,NULL,1,NULL,3,NULL,NULL,NULL,1
25224,0,1,149350,"Novi Sad","Gradske lokacije",1184,NULL,NULL,NULL,NULL,NULL,NULL,4,NULL,NULL,NULL,NULL
12935,0,1,370000,Beograd,"Grocka opstina",1160,2300,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
7126,0,0,15000,Beograd,"Savski Venac",1154,NULL,NULL,NULL,NULL,NULL,NULL,18,16,1,NULL,1
7224,0,0,15000,Beograd,"Savski Venac",1154,NULL,NULL,NULL,NULL,NULL,NULL,15,8,NULL,NULL,NULL
32682,0,0,15000,"Kosovska Mitrovica","Okolne lokacije",1154,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
32671,0,0,15000,"Kosovska Mitrovica","Okolne lokacije",1154,NULL,NULL,NULL,NULL,NULL,"centralno grejanje",NULL,NULL,NULL,NULL,NULL
17688,0,1,5500000,Beograd,"Savski Venac",1150,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL
7296,0,1,5850000,Beograd,"Savski Venac",1150,2700,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL
7135,0,1,4500000,"Kosovska Mitrovica","Okolne lokacije",1150,2700,NULL,NULL,NULL,1,"etazno grejanje",NULL,NULL,1,NULL,NULL
11468,0,1,92700,"Novi Sad","Gradske lokacije",1150,NULL,NULL,NULL,NULL,NULL,"etazno grejanje",2,NULL,NULL,NULL,NULL
29423,0,1,4650000,Beograd,"Savski Venac",1150,2700,2008,NULL,NULL,1,"etazno grejanje",6,5,1,NULL,1
54419,0,1,250000,Batocina,"Okolne lokacije",1135,2800,2010,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL
12579,0,1,11000,Sombor,"Okolne lokacije",1120,NULL,NULL,NULL,NULL,1,NULL,NULL,2,NULL,NULL,NULL
53419,0,1,118000,Srbobran,"Gradske lokacije",1100,NULL,NULL,NULL,NULL,1,"grejanje na gas",5,NULL,NULL,NULL,NULL
40005,0,1,750000,Beograd,"Zemun opstina",1100,NULL,NULL,NULL,NULL,NULL,"etazno grejanje",1,NULL,NULL,NULL,1
8273,0,1,115000,Zrenjanin,"Okolne lokacije",1100,3700,1975,NULL,NULL,1,NULL,NULL,8,1,NULL,1
18279,0,1,345000,"Novi Sad","Okolne lokacije",1089,NULL,2015,NULL,NULL,1,"etazno grejanje",6,NULL,NULL,NULL,NULL
25124,0,1,630000,"Novi Sad","Gradske lokacije",1080,NULL,NULL,NULL,NULL,1,"grejanje na gas",7,NULL,NULL,NULL,1
3249,0,1,133900,"Novi Sad","Gradske lokacije",1071,NULL,NULL,NULL,NULL,1,NULL,2,NULL,NULL,NULL,NULL
